index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[0, 40[", State-gov,77516,*,13,Spouse not present,*, Not-in-family,*,Male,2174,0,40,*,<=50K
1,"[40, 80[", Self-emp-not-inc,83311,*,13,Spouse present,*, Husband,*,Male,0,0,13,*,<=50K
2,"[0, 40[", Private,215646,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,*,<=50K
3,"[40, 80[", Private,234721,*,7,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
6,"[40, 80[", Private,160187,*,5,Spouse not present,*, Not-in-family,*,Female,0,0,16,*,<=50K
7,"[40, 80[", Self-emp-not-inc,209642,*,9,Spouse present,*, Husband,*,Male,0,0,45,*,>50K
9,"[40, 80[", Private,159449,*,13,Spouse present,*, Husband,*,Male,5178,0,40,*,>50K
10,"[0, 40[", Private,280464,*,10,Spouse present,*, Husband,*,Male,0,0,80,*,>50K
11,"[0, 40[", State-gov,141297,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
13,"[0, 40[", Private,205019,*,12,Spouse not present,*, Not-in-family,*,Male,0,0,50,*,<=50K
14,"[40, 80[", Private,121772,*,11,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
15,"[0, 40[", Private,245487,*,4,Spouse present,*, Husband,*,Male,0,0,45,*,<=50K
16,"[0, 40[", Self-emp-not-inc,176756,*,9,Spouse not present,*, Own-child,*,Male,0,0,35,*,<=50K
17,"[0, 40[", Private,186824,*,9,Spouse not present,*, Unmarried,*,Male,0,0,40,*,<=50K
18,"[0, 40[", Private,28887,*,7,Spouse present,*, Husband,*,Male,0,0,50,*,<=50K
19,"[40, 80[", Self-emp-not-inc,292175,*,14,Spouse not present,*, Unmarried,*,Female,0,0,45,*,>50K
20,"[40, 80[", Private,193524,*,16,Spouse present,*, Husband,*,Male,0,0,60,*,>50K
21,"[40, 80[", Private,302146,*,9,Spouse not present,*, Unmarried,*,Female,0,0,20,*,<=50K
22,"[0, 40[", Federal-gov,76845,*,5,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
23,"[40, 80[", Private,117037,*,7,Spouse present,*, Husband,*,Male,0,2042,40,*,<=50K
24,"[40, 80[", Private,109015,*,9,Spouse not present,*, Unmarried,*,Female,0,0,40,*,<=50K
25,"[40, 80[", Local-gov,216851,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
26,"[0, 40[", Private,168294,*,9,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
27,"[40, 80[", ?,180211,*,10,Spouse present,*, Husband,*,Male,0,0,60,*,>50K
28,"[0, 40[", Private,367260,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,80,*,<=50K
29,"[40, 80[", Private,193366,*,9,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
30,"[0, 40[", Local-gov,190709,*,12,Spouse not present,*, Not-in-family,*,Male,0,0,52,*,<=50K
31,"[0, 40[", Private,266015,*,10,Spouse not present,*, Own-child,*,Male,0,0,44,*,<=50K
