index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[0, 80[", State-gov,77516,*,13,*,*, Not-in-family,*,*,2174,0,40,*,<=50K
1,"[0, 80[", Self-emp-not-inc,83311,*,13,*,*, Husband,*,*,0,0,13,*,<=50K
2,"[0, 80[", Private,215646,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
3,"[0, 80[", Private,234721,*,7,*,*, Husband,*,*,0,0,40,*,<=50K
4,"[0, 80[", Private,338409,*,13,*,*, Wife,*,*,0,0,40,*,<=50K
6,"[0, 80[", Private,160187,*,5,*,*, Not-in-family,*,*,0,0,16,*,<=50K
7,"[0, 80[", Self-emp-not-inc,209642,*,9,*,*, Husband,*,*,0,0,45,*,>50K
8,"[0, 80[", Private,45781,*,14,*,*, Not-in-family,*,*,14084,0,50,*,>50K
9,"[0, 80[", Private,159449,*,13,*,*, Husband,*,*,5178,0,40,*,>50K
10,"[0, 80[", Private,280464,*,10,*,*, Husband,*,*,0,0,80,*,>50K
11,"[0, 80[", State-gov,141297,*,13,*,*, Husband,*,*,0,0,40,*,>50K
12,"[0, 80[", Private,122272,*,13,*,*, Own-child,*,*,0,0,30,*,<=50K
13,"[0, 80[", Private,205019,*,12,*,*, Not-in-family,*,*,0,0,50,*,<=50K
14,"[0, 80[", Private,121772,*,11,*,*, Husband,*,*,0,0,40,*,>50K
15,"[0, 80[", Private,245487,*,4,*,*, Husband,*,*,0,0,45,*,<=50K
16,"[0, 80[", Self-emp-not-inc,176756,*,9,*,*, Own-child,*,*,0,0,35,*,<=50K
17,"[0, 80[", Private,186824,*,9,*,*, Unmarried,*,*,0,0,40,*,<=50K
18,"[0, 80[", Private,28887,*,7,*,*, Husband,*,*,0,0,50,*,<=50K
19,"[0, 80[", Self-emp-not-inc,292175,*,14,*,*, Unmarried,*,*,0,0,45,*,>50K
20,"[0, 80[", Private,193524,*,16,*,*, Husband,*,*,0,0,60,*,>50K
21,"[0, 80[", Private,302146,*,9,*,*, Unmarried,*,*,0,0,20,*,<=50K
22,"[0, 80[", Federal-gov,76845,*,5,*,*, Husband,*,*,0,0,40,*,<=50K
23,"[0, 80[", Private,117037,*,7,*,*, Husband,*,*,0,2042,40,*,<=50K
24,"[0, 80[", Private,109015,*,9,*,*, Unmarried,*,*,0,0,40,*,<=50K
25,"[0, 80[", Local-gov,216851,*,13,*,*, Husband,*,*,0,0,40,*,>50K
26,"[0, 80[", Private,168294,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
27,"[0, 80[", ?,180211,*,10,*,*, Husband,*,*,0,0,60,*,>50K
28,"[0, 80[", Private,367260,*,9,*,*, Not-in-family,*,*,0,0,80,*,<=50K
29,"[0, 80[", Private,193366,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
30,"[0, 80[", Local-gov,190709,*,12,*,*, Not-in-family,*,*,0,0,52,*,<=50K
31,"[0, 80[", Private,266015,*,10,*,*, Own-child,*,*,0,0,44,*,<=50K
32,"[0, 80[", Private,386940,*,13,*,*, Own-child,*,*,0,1408,40,*,<=50K
33,"[0, 80[", Federal-gov,59951,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
34,"[0, 80[", State-gov,311512,*,10,*,*, Husband,*,*,0,0,15,*,<=50K
35,"[0, 80[", Private,242406,*,7,*,*, Unmarried,*,*,0,0,40,*,<=50K
36,"[0, 80[", Private,197200,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
38,"[0, 80[", Private,84154,*,10,*,*, Husband,*,*,0,0,38,*,>50K
