index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,"[0, 40[", State-gov,77516,*,13,Spouse not present,Other, Not-in-family,*,Male,2174,0,40,*,<=50K
1,"[40, 80[", Self-emp-not-inc,83311,*,13,Spouse present,Nontechnical, Husband,*,Male,0,0,13,*,<=50K
2,"[0, 40[", Private,215646,*,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*,<=50K
3,"[40, 80[", Private,234721,*,7,Spouse present,Nontechnical, Husband,*,Male,0,0,40,*,<=50K
4,"[0, 40[", Private,338409,*,13,Spouse present,Technical, Wife,*,Female,0,0,40,*,<=50K
6,"[40, 80[", Private,160187,*,5,Spouse not present,Other, Not-in-family,*,Female,0,0,16,*,<=50K
7,"[40, 80[", Self-emp-not-inc,209642,*,9,Spouse present,Nontechnical, Husband,*,Male,0,0,45,*,>50K
8,"[0, 40[", Private,45781,*,14,Spouse not present,Technical, Not-in-family,*,Female,14084,0,50,*,>50K
9,"[40, 80[", Private,159449,*,13,Spouse present,Nontechnical, Husband,*,Male,5178,0,40,*,>50K
10,"[0, 40[", Private,280464,*,10,Spouse present,Nontechnical, Husband,*,Male,0,0,80,*,>50K
11,"[0, 40[", State-gov,141297,*,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
12,"[0, 40[", Private,122272,*,13,Spouse not present,Other, Own-child,*,Female,0,0,30,*,<=50K
13,"[0, 40[", Private,205019,*,12,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,50,*,<=50K
15,"[0, 40[", Private,245487,*,4,Spouse present,Other, Husband,*,Male,0,0,45,*,<=50K
16,"[0, 40[", Self-emp-not-inc,176756,*,9,Spouse not present,Other, Own-child,*,Male,0,0,35,*,<=50K
17,"[0, 40[", Private,186824,*,9,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*,<=50K
18,"[0, 40[", Private,28887,*,7,Spouse present,Nontechnical, Husband,*,Male,0,0,50,*,<=50K
19,"[40, 80[", Self-emp-not-inc,292175,*,14,Spouse not present,Nontechnical, Unmarried,*,Female,0,0,45,*,>50K
20,"[40, 80[", Private,193524,*,16,Spouse present,Technical, Husband,*,Male,0,0,60,*,>50K
