index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
1,"[40, 60[", Self-emp-not-inc,83311,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,0,0,13,*,<=50K
2,"[20, 40[", Private,215646,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*,<=50K
3,"[40, 60[", Private,234721,High School,7,Spouse present,Nontechnical, Husband,*,Male,0,0,40,*,<=50K
6,"[40, 60[", Private,160187,High School,5,Spouse not present,Other, Not-in-family,*,Female,0,0,16,*,<=50K
7,"[40, 60[", Self-emp-not-inc,209642,High School,9,Spouse present,Nontechnical, Husband,*,Male,0,0,45,*,>50K
9,"[40, 60[", Private,159449,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,5178,0,40,*,>50K
10,"[20, 40[", Private,280464,Undergraduate,10,Spouse present,Nontechnical, Husband,*,Male,0,0,80,*,>50K
11,"[20, 40[", State-gov,141297,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
12,"[20, 40[", Private,122272,Undergraduate,13,Spouse not present,Other, Own-child,*,Female,0,0,30,*,<=50K
14,"[40, 60[", Private,121772,Professional Education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
15,"[20, 40[", Private,245487,High School,4,Spouse present,Other, Husband,*,Male,0,0,45,*,<=50K
16,"[20, 40[", Self-emp-not-inc,176756,High School,9,Spouse not present,Other, Own-child,*,Male,0,0,35,*,<=50K
17,"[20, 40[", Private,186824,High School,9,Spouse not present,Technical, Unmarried,*,Male,0,0,40,*,<=50K
21,"[40, 60[", Private,302146,High School,9,Spouse not present,Other, Unmarried,*,Female,0,0,20,*,<=50K
22,"[20, 40[", Federal-gov,76845,High School,5,Spouse present,Other, Husband,*,Male,0,0,40,*,<=50K
23,"[40, 60[", Private,117037,High School,7,Spouse present,Other, Husband,*,Male,0,2042,40,*,<=50K
25,"[40, 60[", Local-gov,216851,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
28,"[20, 40[", Private,367260,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,80,*,<=50K
29,"[40, 60[", Private,193366,High School,9,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
31,"[20, 40[", Private,266015,Undergraduate,10,Spouse not present,Nontechnical, Own-child,*,Male,0,0,44,*,<=50K
33,"[20, 40[", Federal-gov,59951,Undergraduate,10,Spouse present,Other, Own-child,*,Male,0,0,40,*,<=50K
34,"[20, 40[", State-gov,311512,Undergraduate,10,Spouse present,Other, Husband,*,Male,0,0,15,*,<=50K
36,"[20, 40[", Private,197200,Undergraduate,10,Spouse not present,Technical, Own-child,*,Male,0,0,40,*,<=50K
38,"[20, 40[", Private,84154,Undergraduate,10,Spouse present,Nontechnical, Husband,*,Male,0,0,38,*,>50K
39,"[40, 60[", Self-emp-not-inc,265477,Professional Education,12,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
40,"[20, 40[", Private,507875,High School,5,Spouse present,Technical, Husband,*,Male,0,0,43,*,<=50K
41,"[40, 60[", Self-emp-not-inc,88506,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
42,"[20, 40[", Private,172987,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,50,*,<=50K
43,"[40, 60[", Private,94638,High School,9,Spouse not present,Other, Unmarried,*,Female,0,0,40,*,<=50K
44,"[20, 40[", Private,289980,High School,9,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,35,*,<=50K
45,"[40, 60[", Federal-gov,337895,Undergraduate,13,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
46,"[40, 60[", Private,144361,High School,9,Spouse present,Technical, Husband,*,Male,0,0,38,*,<=50K
48,"[40, 60[", State-gov,101603,Professional Education,11,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
55,"[40, 60[", Private,237993,Undergraduate,10,Spouse present,Technical, Husband,*,Male,0,0,40,*,>50K
58,"[40, 60[", Private,147372,High School,9,Spouse present,Other, Husband,*,Male,0,0,48,*,<=50K
59,"[20, 40[", Private,188146,High School,9,Spouse present,Technical, Husband,*,Male,5013,0,40,*,<=50K
60,"[20, 40[", Private,59496,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,2407,0,40,*,<=50K
61,"[20, 40[", ?,293936,High School,4,Spouse not present,Other, Not-in-family,*,Male,0,0,40,*,<=50K
62,"[40, 60[", Private,149640,High School,9,Spouse present,Other, Husband,*,Male,0,0,40,*,<=50K
64,"[20, 40[", Private,105598,Undergraduate,10,Spouse not present,Technical, Not-in-family,*,Male,0,0,58,*,<=50K
65,"[20, 40[", Private,155537,High School,9,Spouse present,Technical, Husband,*,Male,0,0,40,*,<=50K
66,"[20, 40[", Private,183175,Undergraduate,10,Spouse not present,Other, Not-in-family,*,Female,0,0,40,*,<=50K
68,"[40, 60[", Self-emp-inc,191681,Undergraduate,10,Spouse present,Nontechnical, Husband,*,Male,0,0,50,*,>50K
71,"[20, 40[", Private,309974,Undergraduate,13,Spouse not present,Nontechnical, Own-child,*,Female,0,0,40,*,<=50K
72,"[20, 40[", Self-emp-not-inc,162298,Undergraduate,13,Spouse present,Nontechnical, Husband,*,Male,0,0,70,*,>50K
73,"[20, 40[", Private,211678,Undergraduate,10,Spouse not present,Technical, Not-in-family,*,Male,0,0,40,*,<=50K
75,"[20, 40[", Private,213921,High School,9,Spouse not present,Other, Own-child,*,Male,0,0,40,*,<=50K
79,"[20, 40[", Local-gov,125927,High School,4,Spouse present,Other, Husband,*,Male,0,0,40,*,<=50K
83,"[40, 60[", Private,159937,High School,9,Spouse present,Nontechnical, Husband,*,Male,0,0,48,*,<=50K
86,"[40, 60[", Local-gov,268234,High School,9,Spouse present,Other, Husband,*,Male,0,0,40,*,>50K
88,"[20, 40[", Private,54334,High School,5,Spouse not present,Nontechnical, Not-in-family,*,Male,0,0,40,*,<=50K
